Provincie,Jaar,Bouwsector (%)
Waals-Brabant,2011,81.4
Waals-Brabant,2012,86.99
Waals-Brabant,2013,82.16
Waals-Brabant,2014,85.57
Waals-Brabant,2015,78.97
Waals-Brabant,2016,80.52
Waals-Brabant,2017,79.31
Waals-Brabant,2018,83.93
Waals-Brabant,2019,77.48
Waals-Brabant,2020,79.61
Waals-Brabant,2021,78.95
Waals-Brabant,2022,82.22
Waals-Brabant,2023,83.8
Waals-Brabant,2024,82.52
