Provincie,Jaar,Bouwsector (%)
Waals-Brabant,2009,94.19
Waals-Brabant,2010,93.9
Waals-Brabant,2011,93.36
Waals-Brabant,2012,96.56
Waals-Brabant,2013,93.1
Waals-Brabant,2014,93.63
Waals-Brabant,2015,92.07
Waals-Brabant,2016,93.77
Waals-Brabant,2017,91.89
Waals-Brabant,2018,93.58
Waals-Brabant,2019,93.33
Waals-Brabant,2020,93.65
Waals-Brabant,2021,94.39
Waals-Brabant,2022,95.42
Waals-Brabant,2023,93.16
Waals-Brabant,2024,94.02
