Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,94.02,-,301,60
2022,93.16,-,307,57
2021,95.42,82.52,349,50
2020,94.39,83.8,321,45
2019,93.65,82.22,315,81
2018,93.33,78.95,285,69
2017,93.58,79.61,358,64
2016,91.89,77.48,333,56
