Jaar,Aantal nieuwe starters
2008,1388
2009,1121
2010,1246
2011,1361
2012,1186
2013,1095
2014,1135
2015,1213
2016,1343
2017,1484
2018,1628
2019,2262
2020,2616
2021,2753
2022,2567
2023,2561
