Provincie,Jaar,Bouwsector (%)
Antwerpen,2011,82.06
Antwerpen,2012,81.62
Antwerpen,2013,80.82
Antwerpen,2014,80.6
Antwerpen,2015,80.61
Antwerpen,2016,82.01
Antwerpen,2017,78.85
Antwerpen,2018,80.3
Antwerpen,2019,78.93
Antwerpen,2020,79.18
Antwerpen,2021,74.94
Antwerpen,2022,75.46
Antwerpen,2023,71.41
Antwerpen,2024,69.78
