Jaar,Aantal faillissementen
2005,183
2006,169
2007,175
2008,168
2009,245
2010,272
2011,249
2012,271
2013,310
2014,306
2015,280
2016,243
2017,232
2018,224
2019,260
2020,177
2021,219
2022,325
2023,367
2024,406
2025,341
