Jaar,Aantal nieuwe starters
2008,1026
2009,949
2010,962
2011,1055
2012,994
2013,896
2014,947
2015,990
2016,1057
2017,1194
2018,1302
2019,1729
2020,1789
2021,2075
2022,1856
2023,1746
