Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,89.75,-,1746,215
2022,90.84,-,1856,189
2021,91.23,77.2,2075,140
2020,92.68,77.42,1789,111
2019,93.98,79.99,1729,146
2018,95.31,83.49,1302,127
2017,95.31,82.75,1194,122
2016,94.99,83.82,1057,125
