Provincie,Jaar,Bouwsector (%)
West-Vlaanderen,2009,95.22
West-Vlaanderen,2010,94.31
West-Vlaanderen,2011,94.39
West-Vlaanderen,2012,95.07
West-Vlaanderen,2013,95.47
West-Vlaanderen,2014,94.31
West-Vlaanderen,2015,95.67
West-Vlaanderen,2016,94.55
West-Vlaanderen,2017,94.99
West-Vlaanderen,2018,95.31
West-Vlaanderen,2019,95.31
West-Vlaanderen,2020,93.98
West-Vlaanderen,2021,92.68
West-Vlaanderen,2022,91.23
West-Vlaanderen,2023,90.84
West-Vlaanderen,2024,89.75
