Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,93.48,-,843,153
2022,93.19,-,852,170
2021,93.67,80.6,964,121
2020,93.34,79.79,856,144
2019,91.35,77.99,786,171
2018,91.01,77.34,790,158
2017,92.22,79.03,887,175
2016,90.78,73.88,846,163
