Provincie,Jaar,Bouwsector (%)
Henegouwen,2009,91.91
Henegouwen,2010,91.94
Henegouwen,2011,92.33
Henegouwen,2012,92.95
Henegouwen,2013,91.3
Henegouwen,2014,89.02
Henegouwen,2015,89.2
Henegouwen,2016,89.13
Henegouwen,2017,90.78
Henegouwen,2018,92.22
Henegouwen,2019,91.01
Henegouwen,2020,91.35
Henegouwen,2021,93.34
Henegouwen,2022,93.67
Henegouwen,2023,93.19
Henegouwen,2024,93.48
