Jaar,Aantal faillissementen
2005,144
2006,149
2007,159
2008,167
2009,223
2010,216
2011,246
2012,230
2013,233
2014,253
2015,213
2016,163
2017,175
2018,158
2019,171
2020,144
2021,121
2022,170
2023,153
2024,182
2025,138
