Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,88.06,-,10191,1366
2022,89.25,-,10112,1059
2021,90.22,72.41,10942,792
2020,91.15,73.75,9759,680
2019,91.37,76.39,8485,864
2018,93.15,78.66,5825,767
2017,93.59,80.18,5085,807
2016,93.8,80.53,4756,810
