Jaar,Aantal nieuwe starters
2008,4731
2009,4131
2010,4393
2011,4680
2012,4266
2013,3910
2014,4233
2015,4411
2016,4756
2017,5085
2018,5825
2019,8485
2020,9759
2021,10942
2022,10112
2023,10191
