Jaar,Aantal nieuwe starters
2008,664
2009,546
2010,602
2011,624
2012,569
2013,427
2014,542
2015,529
2016,570
2017,628
2018,732
2019,1004
2020,1171
2021,1316
2022,1147
2023,1088
