Provincie,Jaar,Bouwsector (%)
Limburg,2011,80.72
Limburg,2012,84.25
Limburg,2013,82.06
Limburg,2014,81.57
Limburg,2015,78.73
Limburg,2016,78.22
Limburg,2017,83.03
Limburg,2018,81.85
Limburg,2019,81.93
Limburg,2020,80.73
Limburg,2021,78.96
Limburg,2022,77.79
Limburg,2023,75.23
Limburg,2024,74.54
