Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Limburg,2008,100.0,100.0
Limburg,2009,82.23,92.02
Limburg,2010,90.66,99.74
Limburg,2011,93.98,99.49
Limburg,2012,85.69,97.78
Limburg,2013,64.31,86.49
Limburg,2014,81.63,115.09
Limburg,2015,79.67,102.93
Limburg,2016,85.84,124.86
Limburg,2017,94.58,128.98
Limburg,2018,110.24,132.65
Limburg,2019,151.2,144.64
Limburg,2020,176.36,152.33
Limburg,2021,198.19,163.36
Limburg,2022,172.74,196.56
Limburg,2023,163.86,167.96
