Jaar,Aantal faillissementen
2005,84
2006,80
2007,98
2008,97
2009,124
2010,138
2011,151
2012,164
2013,180
2014,175
2015,164
2016,138
2017,143
2018,129
2019,155
2020,126
2021,124
2022,137
2023,161
2024,230
2025,164
