Jaar,Aantal faillissementen
2005,21
2006,13
2007,26
2008,19
2009,25
2010,24
2011,22
2012,29
2013,42
2014,40
2015,30
2016,22
2017,31
2018,25
2019,32
2020,17
2021,17
2022,27
2023,25
2024,25
2025,30
