Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,99.06,-,212,25
2022,95.63,-,206,27
2021,94.61,85.78,204,17
2020,92.05,84.66,176,17
2019,95.39,82.24,152,32
2018,92.86,79.87,154,25
2017,91.78,75.34,146,31
2016,90.07,79.47,151,22
