Provincie,Jaar,Bouwsector (%)
Vlaams-Brabant,2009,94.47
Vlaams-Brabant,2010,93.92
Vlaams-Brabant,2011,92.81
Vlaams-Brabant,2012,92.66
Vlaams-Brabant,2013,93.94
Vlaams-Brabant,2014,91.69
Vlaams-Brabant,2015,94.02
Vlaams-Brabant,2016,93.62
Vlaams-Brabant,2017,92.67
Vlaams-Brabant,2018,94.09
Vlaams-Brabant,2019,93.27
Vlaams-Brabant,2020,89.8
Vlaams-Brabant,2021,91.28
Vlaams-Brabant,2022,90.03
Vlaams-Brabant,2023,90.45
Vlaams-Brabant,2024,87.84
