Jaar,Aantal faillissementen
2005,72
2006,57
2007,58
2008,68
2009,107
2010,85
2011,84
2012,115
2013,111
2014,94
2015,99
2016,88
2017,99
2018,112
2019,108
2020,101
2021,121
2022,164
2023,307
2024,401
2025,397
