Jaar,Aantal nieuwe starters
2008,615
2009,592
2010,556
2011,572
2012,545
2013,590
2014,619
2015,674
2016,723
2017,677
2018,907
2019,1677
2020,2099
2021,2507
2022,2544
2023,2648
