Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,87.84,-,2648,307
2022,90.45,-,2544,164
2021,90.03,71.2,2507,121
2020,91.28,71.99,2099,101
2019,89.8,72.93,1677,108
2018,93.27,75.74,907,112
2017,94.09,77.84,677,99
2016,92.67,79.53,723,88
