Provincie,Jaar,Bouwsector (%)
Oost-Vlaanderen,2011,83.24
Oost-Vlaanderen,2012,82.67
Oost-Vlaanderen,2013,84.32
Oost-Vlaanderen,2014,83.8
Oost-Vlaanderen,2015,80.25
Oost-Vlaanderen,2016,81.49
Oost-Vlaanderen,2017,79.09
Oost-Vlaanderen,2018,81.69
Oost-Vlaanderen,2019,79.21
Oost-Vlaanderen,2020,79.85
Oost-Vlaanderen,2021,80.41
Oost-Vlaanderen,2022,76.56
Oost-Vlaanderen,2023,74.47
Oost-Vlaanderen,2024,71.32
