Jaar,Aantal faillissementen
2005,142
2006,106
2007,128
2008,150
2009,173
2010,196
2011,189
2012,254
2013,270
2014,225
2015,212
2016,222
2017,217
2018,176
2019,198
2020,165
2021,194
2022,258
2023,334
2024,384
2025,373
