Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,87.43,-,2148,334
2022,88.29,-,1998,258
2021,90.48,71.32,2291,194
2020,90.83,74.47,2084,165
2019,90.02,76.56,1813,198
2018,93.63,80.41,1256,176
2017,92.83,79.85,1102,217
2016,93.23,79.21,1063,222
