Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,94.0,-,866,172
2022,92.67,-,955,126
2021,94.65,84.36,972,128
2020,93.27,79.68,817,127
2019,93.41,81.85,744,181
2018,93.45,82.4,733,189
2017,93.9,81.83,787,165
2016,92.98,80.9,712,157
