Jaar,Aantal faillissementen
2005,135
2006,119
2007,109
2008,155
2009,146
2010,163
2011,167
2012,162
2013,224
2014,193
2015,163
2016,157
2017,165
2018,189
2019,181
2020,127
2021,128
2022,126
2023,172
2024,191
2025,161
