Provincie,Jaar,Bouwsector (%)
Luik,2009,92.2
Luik,2010,94.07
Luik,2011,93.45
Luik,2012,93.68
Luik,2013,92.81
Luik,2014,93.09
Luik,2015,93.62
Luik,2016,91.11
Luik,2017,92.98
Luik,2018,93.9
Luik,2019,93.45
Luik,2020,93.41
Luik,2021,93.27
Luik,2022,94.65
Luik,2023,92.67
Luik,2024,94.0
