Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Luik,2008,100.0,100.0
Luik,2009,78.39,99.74
Luik,2010,96.03,107.85
Luik,2011,110.4,111.63
Luik,2012,98.91,114.08
Luik,2013,91.11,115.3
Luik,2014,90.01,134.57
Luik,2015,100.0,112.03
Luik,2016,97.4,127.96
Luik,2017,107.66,125.97
Luik,2018,100.27,124.98
Luik,2019,101.78,129.62
Luik,2020,111.76,128.06
Luik,2021,132.97,141.05
Luik,2022,130.64,176.12
Luik,2023,118.47,151.38
