Jaar,Aantal nieuwe starters
2008,973
2009,972
2010,1039
2011,1273
2012,1357
2013,1578
2014,1749
2015,1728
2016,1763
2017,1744
2018,1785
2019,1429
2020,1332
2021,1253
2022,1137
2023,1035
