Jaar,Aantal faillissementen
2005,135
2006,142
2007,158
2008,201
2009,174
2010,220
2011,336
2012,293
2013,348
2014,316
2015,321
2016,290
2017,414
2018,531
2019,564
2020,259
2021,237
2022,417
2023,332
2024,405
2025,301
