Jaar,1-jarige overlevingskans (%),3-jarige overlevingskans (%),Nieuwe starters,Jaarlijkse faillissementen
2023,91.98,-,1035,332
2022,90.59,-,1137,417
2021,91.3,74.94,1253,237
2020,91.97,75.3,1332,259
2019,92.93,76.84,1429,564
2018,90.59,75.8,1785,531
2017,89.45,75.23,1744,414
2016,91.04,75.04,1763,290
