Provincie,Jaar,Bouwsector (%)
Brussels,2009,93.94
Brussels,2010,94.44
Brussels,2011,93.26
Brussels,2012,93.72
Brussels,2013,91.08
Brussels,2014,90.81
Brussels,2015,90.11
Brussels,2016,91.61
Brussels,2017,91.04
Brussels,2018,89.45
Brussels,2019,90.59
Brussels,2020,92.93
Brussels,2021,91.97
Brussels,2022,91.3
Brussels,2023,90.59
Brussels,2024,91.98
