Provincie,Jaar,Bouwsector (%)
Brussels,2011,78.93
Brussels,2012,78.91
Brussels,2013,79.02
Brussels,2014,77.38
Brussels,2015,74.58
Brussels,2016,75.54
Brussels,2017,75.13
Brussels,2018,74.19
Brussels,2019,75.04
Brussels,2020,75.23
Brussels,2021,75.8
Brussels,2022,76.84
Brussels,2023,75.3
Brussels,2024,74.94
